Constituency_No,Constituency_Name,Candidate,Party,Votes,Position,Alliance,Constituency_Type,Basmati,Region,Area,District_Name,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Winner in 2019,Recontesting?,Agri,
16,KALAYAT,VIKAS SAHARAN,Indian National Congress,48142,1,INC+,GEN,Medium,North Haryana,Rural,KAITHAL,30,13419,8.4,5,,No,More than 65%,
16,KALAYAT,KAMLESH DHANDA,Bharatiya Janata Party,34723,2,BJP,GEN,Medium,North Haryana,Rural,KAITHAL,21.6,,,5,,Yes,More than 65%,
16,KALAYAT,ANITA DHULL BADSIKRI,Independent,25302,3,Others,GEN,Medium,North Haryana,Rural,KAITHAL,15.8,,,5,,No,More than 65%,
16,KALAYAT,RAMPAL MAJRA,Indian National Lok Dal,18850,4,INLD+,GEN,Medium,North Haryana,Rural,KAITHAL,11.8,,,5,,No,More than 65%,
16,KALAYAT,VINOD NIRMAL,Independent,14508,5,Others,GEN,Medium,North Haryana,Rural,KAITHAL,9,,,5,,No,More than 65%,
16,KALAYAT,SATVINDER SINGH RANA,Independent,5859,6,Others,GEN,Medium,North Haryana,Rural,KAITHAL,3.7,,,5,,No,More than 65%,
16,KALAYAT,ANURAG DHANDA,Aam Aadmi Party,5482,7,AAP,GEN,Medium,North Haryana,Rural,KAITHAL,3.4,,,5,,No,More than 65%,
16,KALAYAT,ASHISH RASILA,Independent,3691,8,Others,GEN,Medium,North Haryana,Rural,KAITHAL,2.3,,,5,,No,More than 65%,
16,KALAYAT,PRITAM KOLEKHAN,Jannayak Janta Party,2154,9,JNJP+,GEN,Medium,North Haryana,Rural,KAITHAL,1.3,,,5,,No,More than 65%,
16,KALAYAT,NOTA,None of the Above,393,10,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.2,,,5,,No,More than 65%,
16,KALAYAT,SANDEEP KOTRA ADVOCATE,Independent,312,11,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.2,,,5,,No,More than 65%,
16,KALAYAT,RAJESH KUMAR,Independent,309,12,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.2,,,5,Others,No,More than 65%,
16,KALAYAT,SALINDER KUMAR,Independent,271,13,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.2,,,5,,No,More than 65%,
16,KALAYAT,JITENDER SINGH URF DHOLA,Independent,217,14,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.1,,,5,,No,More than 65%,
16,KALAYAT,RAJENDER KUMAR,Independent,200,15,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.1,,,5,,No,More than 65%,
17,KAITHAL,ADITYA SURJEWALA,Indian National Congress,83744,1,INC+,GEN,Medium,North Haryana,Semi-rural,KAITHAL,49.6,8124,4.8,2,,No,More than 65%,
17,KAITHAL,LEELA RAM,Bharatiya Janata Party,75620,2,BJP,GEN,Medium,North Haryana,Semi-rural,KAITHAL,44.8,,,2,,Yes,More than 65%,
17,KAITHAL,ANIL TANWER,Bahujan Samaj Party,3428,3,INLD+,GEN,Medium,North Haryana,Semi-rural,KAITHAL,2,,,2,,No,More than 65%,
17,KAITHAL,SANDEEP GARHI,Jannayak Janta Party,1910,4,JNJP+,GEN,Medium,North Haryana,Semi-rural,KAITHAL,1.1,,,2,,No,More than 65%,
17,KAITHAL,SATBIR SINGH GOYAT,Aam Aadmi Party,1749,5,AAP,GEN,Medium,North Haryana,Semi-rural,KAITHAL,1,,,2,,No,More than 65%,
17,KAITHAL,NOTA,None of the Above,514,6,Others,GEN,Medium,North Haryana,Semi-rural,KAITHAL,0.3,,,2,,No,More than 65%,
17,KAITHAL,FOUJI SURESH KUMAR,Independent,467,7,Others,GEN,Medium,North Haryana,Semi-rural,KAITHAL,0.3,,,2,,No,More than 65%,
17,KAITHAL,PATASHO DEVI,Independent,300,8,Others,GEN,Medium,North Haryana,Semi-rural,KAITHAL,0.2,,,2,,No,More than 65%,
17,KAITHAL,SATISH KUMAR,Independent,269,9,Others,GEN,Medium,North Haryana,Semi-rural,KAITHAL,0.2,,,2,,No,More than 65%,
17,KAITHAL,ASHWINI SHARMA HRITTWAL,Independent,213,10,Others,GEN,Medium,North Haryana,Semi-rural,KAITHAL,0.1,,,2,,No,More than 65%,
17,KAITHAL,BALRAJ SINGH,Independent,199,11,Others,GEN,Medium,North Haryana,Semi-rural,KAITHAL,0.1,,,2,,No,More than 65%,
17,KAITHAL,DR. MAHESH CHAND GAUR,Independent,166,12,Others,GEN,Medium,North Haryana,Semi-rural,KAITHAL,0.1,,,2,,No,More than 65%,
17,KAITHAL,CHAND KALYAN,Independent,135,13,Others,GEN,Medium,North Haryana,Semi-rural,KAITHAL,0.1,,,2,,No,More than 65%,
18,PUNDRI,SATPAL JAMBA,Bharatiya Janata Party,42805,1,BJP,GEN,Medium,North Haryana,Rural,KAITHAL,31.5,2197,1.6,4,,No,More than 65%,
18,PUNDRI,SATBIR BHANA,Independent,40608,2,Others,GEN,Medium,North Haryana,Rural,KAITHAL,29.9,,,4,Others,No,More than 65%,
18,PUNDRI,SULTAN JADAULA,Indian National Congress,26341,3,INC+,GEN,Medium,North Haryana,Rural,KAITHAL,19.4,,,4,,No,More than 65%,
18,PUNDRI,GURINDER SINGH HABRI,Independent,8097,4,Others,GEN,Medium,North Haryana,Rural,KAITHAL,6,,,4,,No,More than 65%,
18,PUNDRI,SAJJAN SINGH DHULL,Independent,4937,5,Others,GEN,Medium,North Haryana,Rural,KAITHAL,3.6,,,4,,No,More than 65%,
18,PUNDRI,HISAM SINGH BHUKKAL,Bahujan Samaj Party,4891,6,INLD+,GEN,Medium,North Haryana,Rural,KAITHAL,3.6,,,4,,No,More than 65%,
18,PUNDRI,DINESH KAUSHIK,Independent,3105,7,Others,GEN,Medium,North Haryana,Rural,KAITHAL,2.3,,,4,,No,More than 65%,
18,PUNDRI,NARENDER SHARMA,Aam Aadmi Party,2571,8,AAP,GEN,Medium,North Haryana,Rural,KAITHAL,1.9,,,4,,No,More than 65%,
18,PUNDRI,HARIPAL PAHALWAN,Independent,503,9,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.4,,,4,,No,More than 65%,
18,PUNDRI,NARESH KUMAR PHARAL,Independent,396,10,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.3,,,4,,No,More than 65%,
18,PUNDRI,ADVOCATE RAKESH SHARMA,Independent,349,11,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.3,,,4,,No,More than 65%,
18,PUNDRI,PARMOD CHUHARMAJRA,Independent,311,12,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.2,,,4,,No,More than 65%,
18,PUNDRI,BABU RAM,Socialist Unity Centre Of India (COMMUNIST),232,13,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.2,,,4,,No,More than 65%,
18,PUNDRI,NOTA,None of the Above,229,14,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.2,,,4,,No,More than 65%,
18,PUNDRI,AMIT KUMAR,Independent,153,15,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.1,,,4,,No,More than 65%,
18,PUNDRI,DILBAG BHANA,Independent,131,16,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.1,,,4,,No,More than 65%,
18,PUNDRI,SUNITA BATTAN,Independent,125,17,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.1,,,4,BJP,No,More than 65%,
18,PUNDRI,ENGINEER SURESH KUMAR,Peoples Party of India (Democratic),100,18,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.1,,,4,,No,More than 65%,
18,PUNDRI,RANDHIR SINGH GOLLEN,Independent,90,19,Others,GEN,Medium,North Haryana,Rural,KAITHAL,0.1,,,4,,Yes,More than 65%,
19,NILOKHERI,BHAGWAN DASS,Bharatiya Janata Party,77902,1,BJP,SC,High,East Haryana,Rural,KARNAL,52.3,18845,12.7,2,,No,50 - 65%,
19,NILOKHERI,DHARAM PAL,Indian National Congress,59057,2,INC+,SC,High,East Haryana,Rural,KARNAL,39.7,,,2,,Yes,50 - 65%,
19,NILOKHERI,RAJ KUMAR,Independent,5470,3,Others,SC,High,East Haryana,Rural,KARNAL,3.7,,,2,,No,50 - 65%,
19,NILOKHERI,BALWAN SINGH,Indian National Lok Dal,2145,4,INLD+,SC,High,East Haryana,Rural,KARNAL,1.4,,,2,BJP,No,50 - 65%,
19,NILOKHERI,GAURAV BAKHSHI,Rashtrawadi Janlok Party (Satya),1378,5,Others,SC,High,East Haryana,Rural,KARNAL,0.9,,,2,,No,50 - 65%,
19,NILOKHERI,AMAR SINGH,Aam Aadmi Party,556,6,AAP,SC,High,East Haryana,Rural,KARNAL,0.4,,,2,,No,50 - 65%,
19,NILOKHERI,VED PARKASH,Independent,418,7,Others,SC,High,East Haryana,Rural,KARNAL,0.3,,,2,,No,50 - 65%,
19,NILOKHERI,KARAM SINGH,Aazad Samaj Party (Kanshi Ram),387,8,JNJP+,SC,High,East Haryana,Rural,KARNAL,0.3,,,2,,No,50 - 65%,
19,NILOKHERI,NOTA,None of the Above,345,9,Others,SC,High,East Haryana,Rural,KARNAL,0.2,,,2,,No,50 - 65%,
19,NILOKHERI,DYAL SINGH,Independent,249,10,Others,SC,High,East Haryana,Rural,KARNAL,0.2,,,2,,No,50 - 65%,
19,NILOKHERI,SUBHASH CHAND,Independent,238,11,Others,SC,High,East Haryana,Rural,KARNAL,0.2,,,2,,No,50 - 65%,
19,NILOKHERI,SARITA,Independent,230,12,Others,SC,High,East Haryana,Rural,KARNAL,0.2,,,2,,No,50 - 65%,
19,NILOKHERI,SUNDARI,Independent,168,13,Others,SC,High,East Haryana,Rural,KARNAL,0.1,,,2,,No,50 - 65%,
19,NILOKHERI,NAVEEN KUMAR,Independent,144,14,Others,SC,High,East Haryana,Rural,KARNAL,0.1,,,2,,No,50 - 65%,
19,NILOKHERI,RAJIV KUMAR,Independent,87,15,Others,SC,High,East Haryana,Rural,KARNAL,0.1,,,2,,No,50 - 65%,
19,NILOKHERI,DEEPAK KUMAR,Rashtriya Garib Dal,64,16,Others,SC,High,East Haryana,Rural,KARNAL,0,,,2,BJP,No,50 - 65%,
20,INDRI,RAM KUMAR KASHYAP,Bharatiya Janata Party,80465,1,BJP,GEN,High,East Haryana,Semi-rural,KARNAL,51.4,15149,9.7,2,,No,50 - 65%,
20,INDRI,RAKESH KAMBOJ,Indian National Congress,65316,2,INC+,GEN,High,East Haryana,Semi-rural,KARNAL,41.7,,,2,,No,50 - 65%,
20,INDRI,SURENDER UDANA,Bahujan Samaj Party,7498,3,INLD+,GEN,High,East Haryana,Semi-rural,KARNAL,4.8,,,2,,No,50 - 65%,
20,INDRI,HAWA SINGH,Aam Aadmi Party,1483,4,AAP,GEN,High,East Haryana,Semi-rural,KARNAL,0.9,,,2,,No,50 - 65%,
20,INDRI,KULDEEP SINGH MANDHAN,Jannayak Janta Party,1187,5,JNJP+,GEN,High,East Haryana,Semi-rural,KARNAL,0.8,,,2,,No,50 - 65%,
20,INDRI,NOTA,None of the Above,428,6,Others,GEN,High,East Haryana,Semi-rural,KARNAL,0.3,,,2,,No,50 - 65%,
20,INDRI,SANJAY KUMAR,Bhartiya Shakti Chetna Party,200,7,Others,GEN,High,East Haryana,Semi-rural,KARNAL,0.1,,,2,,No,50 - 65%,
21,KARNAL,JAGMOHAN ANAND,Bharatiya Janata Party,90006,1,BJP,GEN,High,East Haryana,Semi-urban,KARNAL,59.7,33652,22.3,2,INC+,No,50 - 65%,
21,KARNAL,SUMITA VIRK,Indian National Congress,56354,2,INC+,GEN,High,East Haryana,Semi-urban,KARNAL,37.4,,,2,,No,50 - 65%,
21,KARNAL,SUNIL BINDAL,Aam Aadmi Party,1723,3,AAP,GEN,High,East Haryana,Semi-urban,KARNAL,1.1,,,2,,No,50 - 65%,
21,KARNAL,SURJEET SINGH,Indian National Lok Dal,950,4,INLD+,GEN,High,East Haryana,Semi-urban,KARNAL,0.6,,,2,,No,50 - 65%,
21,KARNAL,NOTA,None of the Above,854,5,Others,GEN,High,East Haryana,Semi-urban,KARNAL,0.6,,,2,,No,50 - 65%,
21,KARNAL,JETENDER ROYAL,Jannayak Janta Party,269,6,JNJP+,GEN,High,East Haryana,Semi-urban,KARNAL,0.2,,,2,,No,50 - 65%,
21,KARNAL,KAMAL,Independent,242,7,Others,GEN,High,East Haryana,Semi-urban,KARNAL,0.2,,,2,,No,50 - 65%,
21,KARNAL,VARINDER KUMAR CHAWLA,Independent,149,8,Others,GEN,High,East Haryana,Semi-urban,KARNAL,0.1,,,2,,No,50 - 65%,
21,KARNAL,NEERU BALA SAINI,Independent,98,9,Others,GEN,High,East Haryana,Semi-urban,KARNAL,0.1,,,2,,No,50 - 65%,
21,KARNAL,ADVOCATE PARDEEP SAINI,Rashtriya Garib Dal,63,10,Others,GEN,High,East Haryana,Semi-urban,KARNAL,0,,,2,,No,50 - 65%,
21,KARNAL,HARDEEP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),55,11,Others,GEN,High,East Haryana,Semi-urban,KARNAL,0,,,2,,No,50 - 65%,
21,KARNAL,DHARMENDER,Independent,55,12,Others,GEN,High,East Haryana,Semi-urban,KARNAL,0,,,2,,No,50 - 65%,
21,KARNAL,YASH DEV GOYAL,Independent,53,13,Others,GEN,High,East Haryana,Semi-urban,KARNAL,0,,,2,,No,50 - 65%,
22,GHARAUNDA,HARVINDER KALYAN,Bharatiya Janata Party,87236,1,BJP,GEN,High,East Haryana,Semi-rural,KARNAL,49.9,4531,2.6,2,,Yes,50 - 65%,
22,GHARAUNDA,VARINDER SINGH RATHORE,Indian National Congress,82705,2,INC+,GEN,High,East Haryana,Semi-rural,KARNAL,47.3,,,2,BJP,No,50 - 65%,
22,GHARAUNDA,KRISHAN SINGH ALIAS MANNU KASHYAP,Indian National Lok Dal,1611,3,INLD+,GEN,High,East Haryana,Semi-rural,KARNAL,0.9,,,2,,No,50 - 65%,
22,GHARAUNDA,JAIPAL SHARMA,Aam Aadmi Party,947,4,AAP,GEN,High,East Haryana,Semi-rural,KARNAL,0.5,,,2,,No,50 - 65%,
22,GHARAUNDA,VICKY,Jan Sewak Kranti Party,671,5,Others,GEN,High,East Haryana,Semi-rural,KARNAL,0.4,,,2,,No,50 - 65%,
22,GHARAUNDA,RAJPAL,Jannayak Janta Party,572,6,JNJP+,GEN,High,East Haryana,Semi-rural,KARNAL,0.3,,,2,,No,50 - 65%,
22,GHARAUNDA,NOTA,None of the Above,456,7,Others,GEN,High,East Haryana,Semi-rural,KARNAL,0.3,,,2,,No,50 - 65%,
22,GHARAUNDA,PARDEEP KASHYAP UPLI,Independent,396,8,Others,GEN,High,East Haryana,Semi-rural,KARNAL,0.2,,,2,,No,50 - 65%,
22,GHARAUNDA,BHUPINDER SINGH,Independent,144,9,Others,GEN,High,East Haryana,Semi-rural,KARNAL,0.1,,,2,,No,50 - 65%,
23,ASSANDH,YOGINDER SINGH RANA,Bharatiya Janata Party,54761,1,BJP,GEN,High,East Haryana,Rural,KARNAL,33.7,2306,1.4,3,,No,50 - 65%,
23,ASSANDH,SHAMSHER SINGH GOGI,Indian National Congress,52455,2,INC+,GEN,High,East Haryana,Rural,KARNAL,32.3,,,3,,Yes,50 - 65%,
23,ASSANDH,GOPAL SINGH,Bahujan Samaj Party,27396,3,INLD+,GEN,High,East Haryana,Rural,KARNAL,16.9,,,3,,No,50 - 65%,
23,ASSANDH,ZILE RAM SHARMA,Independent,16302,4,Others,GEN,High,East Haryana,Rural,KARNAL,10,,,3,BJP,No,50 - 65%,
23,ASSANDH,AMANDEEP SINGH JUNDLA,Aam Aadmi Party,4290,5,AAP,GEN,High,East Haryana,Rural,KARNAL,2.6,,,3,,No,50 - 65%,
23,ASSANDH,MARATHA VIRENDER VERMA,Nationalist Congress Party – Sharadchandra Pawar,4218,6,Others,GEN,High,East Haryana,Rural,KARNAL,2.6,,,3,,No,50 - 65%,
23,ASSANDH,REKHA,Independent,609,7,Others,GEN,High,East Haryana,Rural,KARNAL,0.4,,,3,,No,50 - 65%,
23,ASSANDH,ADVOCATE SONIYA BOHAT,Independent,445,8,Others,GEN,High,East Haryana,Rural,KARNAL,0.3,,,3,,No,50 - 65%,
23,ASSANDH,JAIPAL PUNIA,Independent,350,9,Others,GEN,High,East Haryana,Rural,KARNAL,0.2,,,3,,No,50 - 65%,
23,ASSANDH,PREM CHAND,Buland Bharat Party,328,10,Others,GEN,High,East Haryana,Rural,KARNAL,0.2,,,3,,No,50 - 65%,
23,ASSANDH,HARJEET SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),308,11,Others,GEN,High,East Haryana,Rural,KARNAL,0.2,,,3,,No,50 - 65%,
23,ASSANDH,NOTA,None of the Above,306,12,Others,GEN,High,East Haryana,Rural,KARNAL,0.2,,,3,,No,50 - 65%,
23,ASSANDH,RAMPHAL,Independent,272,13,Others,GEN,High,East Haryana,Rural,KARNAL,0.2,,,3,,No,50 - 65%,
23,ASSANDH,BALJIT SINGH,Independent,128,14,Others,GEN,High,East Haryana,Rural,KARNAL,0.1,,,3,,No,50 - 65%,
23,ASSANDH,PARDEEP,Independent,124,15,Others,GEN,High,East Haryana,Rural,KARNAL,0.1,,,3,INC+,No,50 - 65%,
24,PANIPAT RURAL,MAHIPAL DHANDA,Bharatiya Janata Party,101079,1,BJP,GEN,Medium,East Haryana,Semi-urban,PANIPAT,50.3,50212,25,2,,Yes,50 - 65%,
24,PANIPAT RURAL,SACHIN KUNDU,Indian National Congress,50867,2,INC+,GEN,Medium,East Haryana,Semi-urban,PANIPAT,25.3,,,2,,No,50 - 65%,
24,PANIPAT RURAL,VIJAY JAIN,Independent,43323,3,Others,GEN,Medium,East Haryana,Semi-urban,PANIPAT,21.5,,,2,,No,50 - 65%,
24,PANIPAT RURAL,SUKHVIR MALIK,Aam Aadmi Party,1682,4,AAP,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0.8,,,2,,No,50 - 65%,
24,PANIPAT RURAL,RANBIR SINGH,Bahujan Samaj Party,1615,5,INLD+,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0.8,,,2,,No,50 - 65%,
24,PANIPAT RURAL,NOTA,None of the Above,1153,6,Others,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0.6,,,2,,No,50 - 65%,
24,PANIPAT RURAL,AMIT MAURYA,Liberal Socialist Party,386,7,Others,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0.2,,,2,INC+,No,50 - 65%,
24,PANIPAT RURAL,RAGHUNATH TANWAR KASHYAP,Jannayak Janta Party,381,8,JNJP+,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0.2,,,2,,No,50 - 65%,
24,PANIPAT RURAL,RAMESH SINGLA,Independent,240,9,Others,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0.1,,,2,,No,50 - 65%,
24,PANIPAT RURAL,DEVENDER,Independent,198,10,Others,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0.1,,,2,,No,50 - 65%,
24,PANIPAT RURAL,MASTER KULDEEP REDHU,Independent,128,11,Others,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0.1,,,2,,No,50 - 65%,
24,PANIPAT RURAL,DIPTI,Independent,87,12,Others,GEN,Medium,East Haryana,Semi-urban,PANIPAT,0,,,2,,No,50 - 65%,
25,PANIPAT CITY,PARMOD KUMAR VIJ,Bharatiya Janata Party,81750,1,BJP,GEN,Medium,East Haryana,Urban,PANIPAT,55.7,35672,24.3,2,,Yes,50 - 65%,
25,PANIPAT CITY,VARINDER KUMAR SHAH,Indian National Congress,46078,2,INC+,GEN,Medium,East Haryana,Urban,PANIPAT,31.4,,,2,BJP,No,50 - 65%,
25,PANIPAT CITY,ROHITA REWRI,Independent,15546,3,Others,GEN,Medium,East Haryana,Urban,PANIPAT,10.6,,,2,,No,50 - 65%,
25,PANIPAT CITY,RITU ARORA,Aam Aadmi Party,705,4,AAP,GEN,Medium,East Haryana,Urban,PANIPAT,0.5,,,2,,No,50 - 65%,
25,PANIPAT CITY,NOTA,None of the Above,702,5,Others,GEN,Medium,East Haryana,Urban,PANIPAT,0.5,,,2,,No,50 - 65%,
25,PANIPAT CITY,SAROJ BALA GUR,Bahujan Samaj Party,696,6,INLD+,GEN,Medium,East Haryana,Urban,PANIPAT,0.5,,,2,,No,50 - 65%,
25,PANIPAT CITY,DILBAG SINGH KRANTIKARI,Independent,438,7,Others,GEN,Medium,East Haryana,Urban,PANIPAT,0.3,,,2,,No,50 - 65%,
25,PANIPAT CITY,CA JAGDISH DHAMIJA,Independent,398,8,Others,GEN,Medium,East Haryana,Urban,PANIPAT,0.3,,,2,,No,50 - 65%,
25,PANIPAT CITY,SAWAMI AGNIVESH,Independent,169,9,Others,GEN,Medium,East Haryana,Urban,PANIPAT,0.1,,,2,,No,50 - 65%,
25,PANIPAT CITY,HIMANSHU SHARMA,Independent,164,10,Others,GEN,Medium,East Haryana,Urban,PANIPAT,0.1,,,2,,No,50 - 65%,
25,PANIPAT CITY,RAMESH KUMAR CHAUDHARY,Independent,133,11,Others,GEN,Medium,East Haryana,Urban,PANIPAT,0.1,,,2,,No,50 - 65%,
25,PANIPAT CITY,BHATERI DEVI,Rashtriya Mazdoor Ekta Party,84,12,Others,GEN,Medium,East Haryana,Urban,PANIPAT,0.1,,,2,,No,50 - 65%,
26,ISRANA,KRISHAN LAL PANWAR,Bharatiya Janata Party,67538,1,BJP,SC,Medium,East Haryana,Semi-rural,PANIPAT,52.1,13895,10.7,2,BJP,No,50 - 65%,
26,ISRANA,BALBIR SINGH BALMIKI,Indian National Congress,53643,2,INC+,SC,Medium,East Haryana,Semi-rural,PANIPAT,41.4,,,2,,No,50 - 65%,
26,ISRANA,RAKESH SAROHA,Independent,4283,3,Others,SC,Medium,East Haryana,Semi-rural,PANIPAT,3.3,,,2,,No,50 - 65%,
26,ISRANA,SATYAWAN SHERA,Independent,1652,4,Others,SC,Medium,East Haryana,Semi-rural,PANIPAT,1.3,,,2,,No,50 - 65%,
26,ISRANA,SURAJBHAN,Indian National Lok Dal,1007,5,INLD+,SC,Medium,East Haryana,Semi-rural,PANIPAT,0.8,,,2,,No,50 - 65%,
26,ISRANA,AMIT KUMAR,Aam Aadmi Party,825,6,AAP,SC,Medium,East Haryana,Semi-rural,PANIPAT,0.6,,,2,,No,50 - 65%,
26,ISRANA,SUNIL KUMAR,Jannayak Janta Party,419,7,JNJP+,SC,Medium,East Haryana,Semi-rural,PANIPAT,0.3,,,2,,No,50 - 65%,
26,ISRANA,NOTA,None of the Above,287,8,Others,SC,Medium,East Haryana,Semi-rural,PANIPAT,0.2,,,2,,No,50 - 65%,
27,SAMALKHA,MANMOHAN BHADANA,Bharatiya Janata Party,81293,1,BJP,GEN,Medium,East Haryana,Semi-rural,PANIPAT,48.4,19315,11.5,2,,No,50 - 65%,
27,SAMALKHA,DHARAM SINGH CHHOKER,Indian National Congress,61978,2,INC+,GEN,Medium,East Haryana,Semi-rural,PANIPAT,36.9,,,2,,Yes,50 - 65%,
27,SAMALKHA,RAVINDER MACHHRAULI,Independent,21132,3,Others,GEN,Medium,East Haryana,Semi-rural,PANIPAT,12.6,,,2,,No,50 - 65%,
27,SAMALKHA,RAJESH,Indian National Lok Dal,1103,4,INLD+,GEN,Medium,East Haryana,Semi-rural,PANIPAT,0.7,,,2,,No,50 - 65%,
27,SAMALKHA,JAIKANWAR ALIAS BITTU PAHALWAN,Aam Aadmi Party,1060,5,AAP,GEN,Medium,East Haryana,Semi-rural,PANIPAT,0.6,,,2,,No,50 - 65%,
27,SAMALKHA,GANGARAM SWAMI,Jannayak Janta Party,848,6,JNJP+,GEN,Medium,East Haryana,Semi-rural,PANIPAT,0.5,,,2,,No,50 - 65%,
27,SAMALKHA,NOTA,None of the Above,419,7,Others,GEN,Medium,East Haryana,Semi-rural,PANIPAT,0.2,,,2,INC+,No,50 - 65%,
27,SAMALKHA,SATISH KUMAR,Independent,286,8,Others,GEN,Medium,East Haryana,Semi-rural,PANIPAT,0.2,,,2,,No,50 - 65%,
28,GANAUR,DEVENDER KADYAN,Independent,77248,1,Others,GEN,High,East Haryana,Semi-rural,SONIPAT,54.8,35209,25,2,,No,50 - 65%,
28,GANAUR,KULDIP SHARMA,Indian National Congress,42039,2,INC+,GEN,High,East Haryana,Semi-rural,SONIPAT,29.8,,,2,,No,50 - 65%,
28,GANAUR,DEVENDER KAUSHIK,Bharatiya Janata Party,17605,3,BJP,GEN,High,East Haryana,Semi-rural,SONIPAT,12.5,,,2,,No,50 - 65%,
28,GANAUR,KAVITA SHARMA,Independent,1931,4,Others,GEN,High,East Haryana,Semi-rural,SONIPAT,1.4,,,2,,No,50 - 65%,
28,GANAUR,NAR SINGH,Bahujan Samaj Party,686,5,INLD+,GEN,High,East Haryana,Semi-rural,SONIPAT,0.5,,,2,,No,50 - 65%,
28,GANAUR,ANIL KUMAR TYAGI,Jannayak Janta Party,343,6,JNJP+,GEN,High,East Haryana,Semi-rural,SONIPAT,0.2,,,2,,No,50 - 65%,
28,GANAUR,TAKDEER,Independent,305,7,Others,GEN,High,East Haryana,Semi-rural,SONIPAT,0.2,,,2,,No,50 - 65%,
28,GANAUR,RAM KUMAR,Independent,246,8,Others,GEN,High,East Haryana,Semi-rural,SONIPAT,0.2,,,2,,No,50 - 65%,
28,GANAUR,NOTA,None of the Above,230,9,Others,GEN,High,East Haryana,Semi-rural,SONIPAT,0.2,,,2,INC+,No,50 - 65%,
28,GANAUR,SAROJ BALA,Aam Aadmi Party,174,10,AAP,GEN,High,East Haryana,Semi-rural,SONIPAT,0.1,,,2,,No,50 - 65%,
28,GANAUR,RAM MEHAR SINGH,Independent,147,11,Others,GEN,High,East Haryana,Semi-rural,SONIPAT,0.1,,,2,,No,50 - 65%,
28,GANAUR,ANKUR KAUSHIK,Independent,84,12,Others,GEN,High,East Haryana,Semi-rural,SONIPAT,0.1,,,2,,No,50 - 65%,
29,RAI,KRISHNA GAHLAWAT,Bharatiya Janata Party,64614,1,BJP,GEN,High,East Haryana,Semi-urban,SONIPAT,46.1,4673,3.3,2,,No,50 - 65%,
29,RAI,JAI BHAGWAN ANTIL,Indian National Congress,59941,2,INC+,GEN,High,East Haryana,Semi-urban,SONIPAT,42.7,,,2,,No,50 - 65%,
29,RAI,PRATEEK RAJKUMAR SHARMA,Independent,12262,3,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,8.7,,,2,,No,50 - 65%,
29,RAI,PARMOD DAHIYA,Indian National Lok Dal,707,4,INLD+,GEN,High,East Haryana,Semi-urban,SONIPAT,0.5,,,2,,No,50 - 65%,
29,RAI,RAHUL KIRORIWAL,Independent,635,5,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.5,,,2,,No,50 - 65%,
29,RAI,NOTA,None of the Above,486,6,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.3,,,2,,No,50 - 65%,
29,RAI,SITENDER,Independent,400,7,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.3,,,2,,No,50 - 65%,
29,RAI,BIJENDER,Jannayak Janta Party,306,8,JNJP+,GEN,High,East Haryana,Semi-urban,SONIPAT,0.2,,,2,,No,50 - 65%,
29,RAI,RAJESH SAROHA,Aam Aadmi Party,281,9,AAP,GEN,High,East Haryana,Semi-urban,SONIPAT,0.2,,,2,INC+,No,50 - 65%,
29,RAI,DEVENDER SINGH,Socialist Unity Centre Of India (COMMUNIST),225,10,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.2,,,2,,No,50 - 65%,
29,RAI,SANT DHARAMVEER CHOTIVALA,Yuga Thulasi Party,102,11,Others,GEN,High,East Haryana,Semi-urban,SONIPAT,0.1,,,2,,No,50 - 65%,
